id,transformation
p23400,none
p23401,none
p23402,log10
p23403,log10
p23404,none
p23405,none
p23406,log10
p23407,log10
p23408,log10
p23409,log10
p23410,log10
p23411,none
p23412,log10
p23413,none
p23414,log10
p23415,none
p23416,log10
p23417,none
p23418,log10
p23419,none
p23420,log10
p23421,none
p23422,log10
p23423,log10
p23424,log10
p23425,none
p23426,log10
p23427,none
p23428,log10
p23429,log10
p23430,log10
p23431,none
p23432,square
p23433,log10
p23434,none
p23435,log10
p23436,none
p23437,none
p23438,none
p23439,log10
p23440,log10
p23441,log10
p23442,log10
p23443,square
p23444,log10
p23445,none
p23446,none
p23447,log10
p23448,log10
p23449,none
p23450,log10
p23451,log10
p23452,square
p23453,square
p23454,none
p23455,square
p23456,square
p23457,log10
p23458,none
p23459,log10
p23460,log10
p23461,none
p23462,log10
p23463,log10
p23464,log10
p23465,log10
p23466,log10
p23467,log10
p23468,log10
p23469,log10
p23470,log10
p23471,log10
p23472,log10
p23473,log10
p23474,log10
p23475,log10
p23476,log10
p23477,log10
p23478,square
p23479,none
p23480,log10
p23481,log10
p23482,log10
p23483,log10
p23484,log10
p23485,log10
p23486,log10
p23487,log10
p23488,log10
p23489,log10
p23490,log10
p23491,log10
p23492,log10
p23493,log10
p23494,log10
p23495,log10
p23496,log10
p23497,log10
p23498,log10
p23499,log10
p23500,log10
p23501,log10
p23502,log10
p23503,log10
p23504,log10
p23505,log10
p23506,none
p23507,log10
p23508,log10
p23509,log10
p23510,log10
p23511,log10
p23512,log10
p23513,log10
p23514,log10
p23515,log10
p23516,log10
p23517,log10
p23518,log10
p23519,log10
p23520,log10
p23521,log10
p23522,log10
p23523,log10
p23524,none
p23525,log10
p23526,none
p23527,none
p23528,none
p23529,log10
p23530,log10
p23531,none
p23532,none
p23533,none
p23534,none
p23535,none
p23536,log10
p23537,log10
p23538,none
p23539,none
p23540,none
p23541,none
p23542,none
p23543,log10
p23544,log10
p23545,none
p23546,none
p23547,none
p23548,log10
p23549,none
p23550,log10
p23551,log10
p23552,log10
p23553,log10
p23554,log10
p23555,log10
p23556,log10
p23557,log10
p23558,log10
p23559,log10
p23560,log10
p23561,log10
p23562,log10
p23563,log10
p23564,log10
p23565,log10
p23566,log10
p23567,log10
p23568,log10
p23569,log10
p23570,log10
p23571,log10
p23572,none
p23573,none
p23574,log10
p23575,none
p23576,none
p23577,log10
p23578,log10
p23579,square
p23580,log10
p23581,log10
p23582,log10
p23583,square
p23584,square
p23585,log10
p23586,log10
p23587,square
p23588,square
p23589,square
p23590,none
p23591,log10
p23592,square
p23593,log10
p23594,none
p23595,none
p23596,none
p23597,none
p23598,none
p23599,none
p23600,none
p23601,none
p23602,none
p23603,none
p23604,none
p23605,square
p23606,square
p23607,square
p23608,log10
p23609,none
p23610,square
p23611,square
p23612,square
p23613,log10
p23614,log10
p23615,square
p23616,square
p23617,square
p23618,log10
p23619,none
p23620,square
p23621,none
p23622,square
p23623,log10
p23624,none
p23625,square
p23626,none
p23627,square
p23628,log10
p23629,square
p23630,log10
p23631,none
p23632,log10
p23633,log10
p23634,none
p23635,square
p23636,square
p23637,square
p23638,log10
p23639,none
p23640,square
p23641,square
p23642,none
p23643,log10
p23644,none
p23645,square
p23646,square
p23647,log10
p23648,log10
p23466_div_p23465_plus_p23467,log10
p23531_div_p23545,none
p23547_div_p23533,log10
p23540_div_p23547,square
p23476_div_p23477,log10
p23468_div_p23407,log10
p23470_div_p23479,log10
p23532_div_p23539,none
p23481_div_p23488,log10
p23473_div_p23478,log10
p23464_div_p23468_plus_p23469,log10
p23473_div_p23472,log10
p23474_div_p23476_plus_p23477,log10
p23400_div_p23439,log10
p23530_div_p23544,none
p23523_div_p23429,none
p23407_div_p23408_plus_p23410,log10
p23530_div_p23537_plus_p23544,none
p23408_div_p23410,log10
p23400_div_p23403,log10
p23471_div_p23472,log10
p23473_div_p23411,log10
p23461_div_p23462_plus_p23460,log10
p23512_div_p23505,log10
p23400_div_p23470_plus_p23464,log10
p23472_div_p23471_plus_p23470,log10
p23442_div_p23439,log10
p23475_div_p23474,log10
p23470_div_p23480,log10
p23400_div_p23470,log10
p23470_div_p23442,log10
p23480_div_p23479,log10
p23446_div_p23448,none
